2026-07-20 14:49:38 | INFO | INFO | 开始创建引擎组件...
2026-07-20 14:49:38 | INFO | INFO | 数据源已创建: mock
2026-07-20 14:49:38 | INFO | INFO | 适当性引擎已创建
2026-07-20 14:49:38 | INFO | INFO | 意图引擎已创建
2026-07-20 14:50:27 | INFO | INFO | 特征存储已创建
2026-07-20 14:50:27 | INFO | INFO | 融合决策引擎已创建
2026-07-20 14:50:27 | INFO | INFO | 编排层已创建
2026-07-20 14:50:27 | INFO | INFO | PrudenceAPI 初始化完成
2026-07-20 14:51:55 | INFO | INFO | 开始创建引擎组件...
2026-07-20 14:51:55 | INFO | INFO | 数据源已创建: mock
2026-07-20 14:51:55 | INFO | INFO | 适当性引擎已创建
2026-07-20 14:51:55 | INFO | INFO | 意图引擎已创建
2026-07-20 14:52:45 | INFO | INFO | 特征存储已创建
2026-07-20 14:52:45 | INFO | INFO | 融合决策引擎已创建
2026-07-20 14:52:45 | INFO | INFO | 编排层已创建
2026-07-20 14:52:45 | INFO | INFO | PrudenceAPI 初始化完成
2026-07-20 15:02:24 | INFO | INFO | 睿衡引擎启动 | 模式: ui
2026-07-20 15:02:24 | INFO | INFO | 开始创建引擎组件...
2026-07-20 15:02:24 | INFO | INFO | 开始创建引擎组件...
2026-07-20 15:02:24 | INFO | INFO | 数据源已创建: mock
2026-07-20 15:02:24 | INFO | INFO | 数据源已创建: mock
2026-07-20 15:02:24 | INFO | INFO | 适当性引擎已创建
2026-07-20 15:02:24 | INFO | INFO | 适当性引擎已创建
2026-07-20 15:02:24 | INFO | INFO | 意图引擎已创建
2026-07-20 15:02:24 | INFO | INFO | 意图引擎已创建
2026-07-20 15:03:13 | INFO | INFO | 特征存储已创建
2026-07-20 15:03:13 | INFO | INFO | 特征存储已创建
2026-07-20 15:03:13 | INFO | INFO | 融合决策引擎已创建
2026-07-20 15:03:13 | INFO | INFO | 融合决策引擎已创建
2026-07-20 15:03:13 | INFO | INFO | 编排层已创建
2026-07-20 15:03:13 | INFO | INFO | 编排层已创建
2026-07-20 15:03:13 | INFO | INFO | PrudenceAPI 初始化完成
2026-07-20 15:03:13 | INFO | INFO | PrudenceAPI 初始化完成
2026-07-20 15:03:13 | INFO | INFO | 启动 UI 仪表板: http://localhost:8501
2026-07-20 15:03:13 | INFO | INFO | 启动 UI 仪表板: http://localhost:8501
2026-07-20 15:05:28 | INFO | INFO | 睿衡引擎启动 | 模式: api
2026-07-20 15:05:28 | INFO | INFO | 开始创建引擎组件...
2026-07-20 15:05:28 | INFO | INFO | 开始创建引擎组件...
2026-07-20 15:05:28 | INFO | INFO | 数据源已创建: mock
2026-07-20 15:05:28 | INFO | INFO | 数据源已创建: mock
2026-07-20 15:05:28 | INFO | INFO | 适当性引擎已创建
2026-07-20 15:05:28 | INFO | INFO | 适当性引擎已创建
2026-07-20 15:05:28 | INFO | INFO | 意图引擎已创建
2026-07-20 15:05:28 | INFO | INFO | 意图引擎已创建
2026-07-20 15:06:17 | INFO | INFO | 特征存储已创建
2026-07-20 15:06:17 | INFO | INFO | 特征存储已创建
2026-07-20 15:06:17 | INFO | INFO | 融合决策引擎已创建
2026-07-20 15:06:17 | INFO | INFO | 融合决策引擎已创建
2026-07-20 15:06:17 | INFO | INFO | 编排层已创建
2026-07-20 15:06:17 | INFO | INFO | 编排层已创建
2026-07-20 15:06:17 | INFO | INFO | PrudenceAPI 初始化完成
2026-07-20 15:06:17 | INFO | INFO | PrudenceAPI 初始化完成
2026-07-20 15:06:18 | INFO | INFO | 启动 API 服务: http://0.0.0.0:8000
2026-07-20 15:06:18 | INFO | INFO | 启动 API 服务: http://0.0.0.0:8000
2026-07-20 15:10:48 | INFO | INFO | 开始创建引擎组件...
2026-07-20 15:10:48 | INFO | INFO | 开始创建引擎组件...
2026-07-20 15:10:48 | INFO | INFO | 数据源已创建: mock
2026-07-20 15:10:48 | INFO | INFO | 数据源已创建: mock
2026-07-20 15:10:48 | INFO | INFO | 适当性引擎已创建
2026-07-20 15:10:48 | INFO | INFO | 适当性引擎已创建
2026-07-20 15:10:48 | INFO | INFO | 意图引擎已创建
2026-07-20 15:10:48 | INFO | INFO | 意图引擎已创建
2026-07-20 15:11:37 | INFO | INFO | 特征存储已创建
2026-07-20 15:11:37 | INFO | INFO | 特征存储已创建
2026-07-20 15:11:37 | INFO | INFO | 融合决策引擎已创建
2026-07-20 15:11:37 | INFO | INFO | 融合决策引擎已创建
2026-07-20 15:11:37 | INFO | INFO | 编排层已创建
2026-07-20 15:11:37 | INFO | INFO | 编排层已创建
2026-07-20 15:11:37 | INFO | INFO | PrudenceAPI 初始化完成
2026-07-20 15:11:37 | INFO | INFO | PrudenceAPI 初始化完成
2026-07-20 15:11:37 | INFO | INFO | 决策请求: CUST_HIGH -> P004 | trace_id=1784531497361034200
2026-07-20 15:11:37 | INFO | INFO | 决策请求: CUST_HIGH -> P004 | trace_id=1784531497361034200
2026-07-20 15:11:37 | INFO | AUDIT | {"timestamp": "2026-07-20T15:11:37.382470", "event": "decision", "customer_id": "CUST_HIGH", "product_id": "P004", "trace_id": "1784531497361034200", "details": {"action": "PROACTIVE_CLOSING", "reason": "高意向，促单", "latency_ms": 21.409273147583008}}
2026-07-20 15:11:37 | INFO | AUDIT | {"timestamp": "2026-07-20T15:11:37.382470", "event": "decision", "customer_id": "CUST_HIGH", "product_id": "P004", "trace_id": "1784531497361034200", "details": {"action": "PROACTIVE_CLOSING", "reason": "高意向，促单", "latency_ms": 21.409273147583008}}
2026-07-20 15:11:37 | INFO | INFO | 决策完成: PROACTIVE_CLOSING | latency_ms=21.41 | trace_id=1784531497361034200
2026-07-20 15:11:37 | INFO | INFO | 决策完成: PROACTIVE_CLOSING | latency_ms=21.41 | trace_id=1784531497361034200
2026-07-20 15:28:48 | INFO | INFO | 睿衡引擎启动 | 模式: ui
2026-07-20 15:28:48 | INFO | INFO | 开始创建引擎组件...
2026-07-20 15:28:48 | INFO | INFO | 开始创建引擎组件...
2026-07-20 15:28:48 | INFO | INFO | 数据源已创建: mock
2026-07-20 15:28:48 | INFO | INFO | 数据源已创建: mock
2026-07-20 15:28:48 | INFO | INFO | 适当性引擎已创建
2026-07-20 15:28:48 | INFO | INFO | 适当性引擎已创建
